"id","func_type","data_type","product","date_from","date_to","destination_table","schedule","name"
40,get_nrvsaldo,NRVSaldo,Qualitaetsgesichert,-200000,4320,netz_nrv_data,"18 03 * * *",nrvsaldo_NRVSaldo_Qualitaetsgesichert
41,get_nrvsaldo,RZSaldo,Qualitaetsgesichert,-200000,4320,netz_nrv_data,"18 03 * * *",nrvsaldo_RZSaldo_Qualitaetsgesichert
51,get_nrvsaldo,AEPModule,Qualitaetsgesichert,-200000,4320,netz_nrv_price_data,"8 03 * * *",nrvsaldo_AEPModule_Qualitaetsgesichert
43,get_nrvsaldo,AktivierteMRL,Qualitaetsgesichert,-200000,4320,netz_nrv_data,"18 03 * * *",nrvsaldo_AktivierteMRL_Qualitaetsgesichert
15,get_vermarktung,,VermarktungExaa,-14400,4320,netz_production_data,"18 02 * * *",vermarktung_VermarktungExaa
44,get_nrvsaldo,SRLOptimierung,Qualitaetsgesichert,-200000,4320,netz_nrv_data,"22 03 * * *",nrvsaldo_SRLOptimierung_Qualitaetsgesichert
45,get_nrvsaldo,MRLOptimierung,Qualitaetsgesichert,-200000,4320,netz_nrv_data,"22 03 * * *",nrvsaldo_MRLOptimierung_Qualitaetsgesichert
46,get_nrvsaldo,PRL,Qualitaetsgesichert,-200000,4320,netz_nrv_data,"22 03 * * *",nrvsaldo_PRL_Qualitaetsgesichert
47,get_nrvsaldo,Difference,Qualitaetsgesichert,-200000,4320,netz_nrv_data,"22 03 * * *",nrvsaldo_Difference_Qualitaetsgesichert
1,get_product,,Solar,-250000,4320,netz_production_data,"13 01 10 * *",product_solar
2,get_product,,Wind,-250000,4320,netz_production_data,"13 01 10 * *",product_wind
23,get_trafficlight,,,-60,15,netz_trafficlight_data,*/1 * * * *,trafficlight
30,get_nrvsaldo,MRLOptimierung,Betrieblich,-1440,4320,netz_nrv_data,*/15 * * * *,nrvsaldo_MRLOptimierung_Betrieblich
31,get_nrvsaldo,PRL,Betrieblich,-1440,4320,netz_nrv_data,*/15 * * * *,nrvsaldo_PRL_Betrieblich
32,get_nrvsaldo,Difference,Betrieblich,-1440,4320,netz_nrv_data,*/15 * * * *,nrvsaldo_Difference_Betrieblich
33,get_nrvsaldo,Zusatzmassnahmen,Betrieblich,-1440,4320,netz_nrv_data,*/15 * * * *,nrvsaldo_Zusatzmassnahmen_Betrieblich
39,get_nrvsaldo,AbschaltbareLasten,Betrieblich,-1440,4320,netz_nrv_data,*/15 * * * *,nrvsaldo_AbschaltbareLasten_Betrieblich
55,get_nrvsaldo,RZSaldo,Betrieblich,-120,4320,netz_nrv_data,*/2 * * * *,nrvsaldo_RZSaldo_Betrieblich
4,get_hochrechnung,,Solar,-1440,4320,netz_hochrechnung_production_data,*/15 * * * *,hochrechnung_solar
5,get_hochrechnung,,Wind,-1440,4320,netz_hochrechnung_production_data,*/15 * * * *,hochrechnung_wind
9,get_negativepreise,,"1",-108000,4320,netz_negativepreise_data,"22 02 * * *",negativePreise_1
20,get_idaep,,,-14400,4320,netz_price_data,"8 01 * * *",idaep
25,get_nrvsaldo,NRVSaldo,Betrieblich,-500,4320,netz_nrv_data,*/1 * * * *,nrvsaldo_NRVSaldo_Betrieblich
50,get_nrvsaldo,reBAP,Qualitaetsgesichert,-250000,4320,netz_nrv_price_data,"18 07 * * *",nrvsaldo_reBAP_Qualitaetsgesichert
27,get_nrvsaldo,AktivierteSRL,Betrieblich,-500,4320,netz_nrv_data,*/2 * * * *,nrvsaldo_AktivierteSRL_Betrieblich
28,get_nrvsaldo,AktivierteMRL,Betrieblich,-500,4320,netz_nrv_data,*/2 * * * *,nrvsaldo_AktivierteMRL_Betrieblich
29,get_nrvsaldo,SRLOptimierung,Betrieblich,-500,4320,netz_nrv_data,*/2 * * * *,nrvsaldo_SRLOptimierung_Betrieblich
10,get_negativepreise,,"4",-108000,4320,netz_negativepreise_data,"22 02 * * *",negativePreise_4
38,get_nrvsaldo,AepSchaetzer,Betrieblich,-500,4320,netz_nrv_price_data,*/2 * * * *,nrvsaldo_AepSchaetzer_Betrieblich
3,get_spotmarketpreise,,,-108000,4320,netz_price_data,"18 01 * * *",spotmarketpreise
6,get_onlinehochrechnung,,Solar,-108000,4320,netz_hochrechnung_production_data,"22 01 * * *",onlinehochrechnung_solar
7,get_onlinehochrechnung,,Windonshore,-108000,4320,netz_hochrechnung_production_data,"22 01 * * *",onlinehochrechnung_windonshore
11,get_negativepreise,,"6",-108000,4320,netz_negativepreise_data,"22 02 * * *",negativePreise_6
21,get_redispatch,,,-1440,4320,netz_redispatch_data,*/15 * * * *,redispatch
16,get_vermarktung,,VermarktungEpex,-14400,4320,netz_production_data,"13 02 * * *",vermarktung_VermarktungEpex
17,get_vermarktung,,VermarktungsSonstige,-14400,4320,netz_production_data,"13 02 * * *",vermarktung_VermarktungsSonstige
8,get_onlinehochrechnung,,Windoffshore,-108000,4320,netz_hochrechnung_production_data,"22 01 * * *",onlinehochrechnung_windoffshore
12,get_vermarktung,,InanspruchnahmeAusgleichsenergie,-108000,4320,netz_production_data,"18 02 * * *",vermarktung_InanspruchnahmeAusgleichsenergie
18,get_vermarktung,,VermarktungsSolar,-14400,4320,netz_production_data,"13 02 * * *",vermarktung_VermarktungsSolar
19,get_vermarktung,,VermarktungsWind,-14400,4320,netz_production_data,"13 02 * * *",vermarktung_VermarktungsWind
13,get_vermarktung,,UntertaegigeStrommengen,-14400,4320,netz_production_data,"18 02 * * *",vermarktung_UntertaegigeStrommengen
14,get_vermarktung,,DifferenzEinspeiseprognose,-14400,4320,netz_production_data,"18 02 * * *",vermarktung_DifferenzEinspeiseprognose
42,get_nrvsaldo,AktivierteSRL,Qualitaetsgesichert,-200000,4320,netz_nrv_data,"18 03 * * *",nrvsaldo_AktivierteSRL_Qualitaetsgesichert
